[INFO|utils|numexpr.utils|L160] - 2024-06-14 20:49:18  ->  NumExpr defaulting to 4 threads.
[DEBUG|beautiful_crawler|WEB_SCRAPER|L99] - 2024-06-14 20:49:20  ->  File storage method selected, data will be stored in .csv format
[INFO|beautiful_crawler|WEB_SCRAPER|L514] - 2024-06-14 20:49:20  ->  Worker(s) starting work...
[INFO|beautiful_crawler|WEB_SCRAPER|L490] - 2024-06-14 20:49:20  ->  Worker-1 Crawling BookScrape
[INFO|beautiful_crawler|WEB_SCRAPER|L490] - 2024-06-14 20:49:20  ->  Worker-2 Crawling BookScrape
[INFO|beautiful_crawler|WEB_SCRAPER|L490] - 2024-06-14 20:49:20  ->  Worker-3 Crawling BookScrape
[INFO|beautiful_crawler|WEB_SCRAPER|L135] - 2024-06-14 20:49:22  ->  Getting page: https://books.toscrape.com
[INFO|beautiful_crawler|WEB_SCRAPER|L135] - 2024-06-14 20:49:22  ->  Getting page: https://books.toscrape.com
[INFO|beautiful_crawler|WEB_SCRAPER|L135] - 2024-06-14 20:49:22  ->  Getting page: https://books.toscrape.com
[DEBUG|connectionpool|urllib3.connectionpool|L1019] - 2024-06-14 20:49:22  ->  Starting new HTTPS connection (1): books.toscrape.com:443
[DEBUG|connectionpool|urllib3.connectionpool|L1019] - 2024-06-14 20:49:22  ->  Starting new HTTPS connection (2): books.toscrape.com:443
[DEBUG|connectionpool|urllib3.connectionpool|L1019] - 2024-06-14 20:49:22  ->  Starting new HTTPS connection (3): books.toscrape.com:443
[DEBUG|connectionpool|urllib3.connectionpool|L474] - 2024-06-14 20:49:25  ->  https://books.toscrape.com:443 "GET / HTTP/1.1" 200 None
[DEBUG|connectionpool|urllib3.connectionpool|L474] - 2024-06-14 20:49:25  ->  https://books.toscrape.com:443 "GET / HTTP/1.1" 200 None
[DEBUG|connectionpool|urllib3.connectionpool|L474] - 2024-06-14 20:49:25  ->  https://books.toscrape.com:443 "GET / HTTP/1.1" 200 None
[INFO|beautiful_crawler|WEB_SCRAPER|L135] - 2024-06-14 20:49:27  ->  Getting page: https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
[INFO|beautiful_crawler|WEB_SCRAPER|L135] - 2024-06-14 20:49:27  ->  Getting page: https://books.toscrape.com/catalogue/category/books/travel_2/index.html
[INFO|beautiful_crawler|WEB_SCRAPER|L135] - 2024-06-14 20:49:27  ->  Getting page: https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
[DEBUG|connectionpool|urllib3.connectionpool|L474] - 2024-06-14 20:49:28  ->  https://books.toscrape.com:443 "GET /catalogue/category/books/travel_2/index.html HTTP/1.1" 200 None
[DEBUG|connectionpool|urllib3.connectionpool|L474] - 2024-06-14 20:49:28  ->  https://books.toscrape.com:443 "GET /catalogue/category/books/historical-fiction_4/index.html HTTP/1.1" 200 None
[DEBUG|connectionpool|urllib3.connectionpool|L474] - 2024-06-14 20:49:28  ->  https://books.toscrape.com:443 "GET /catalogue/category/books/mystery_3/index.html HTTP/1.1" 200 None
[INFO|beautiful_crawler|WEB_SCRAPER|L330] - 2024-06-14 20:49:28  ->  Parsing data
[INFO|beautiful_crawler|WEB_SCRAPER|L438] - 2024-06-14 20:49:28  ->  beginning pipeline
[DEBUG|beautiful_crawler|WEB_SCRAPER|L455] - 2024-06-14 20:49:28  ->  Executing remove_nulls on dataset
[DEBUG|beautiful_crawler|WEB_SCRAPER|L457] - 2024-06-14 20:49:28  ->  Finished execution of remove_nulls on dataset
[DEBUG|beautiful_crawler|WEB_SCRAPER|L455] - 2024-06-14 20:49:28  ->  Executing clean_title on dataset
[DEBUG|beautiful_crawler|WEB_SCRAPER|L457] - 2024-06-14 20:49:28  ->  Finished execution of clean_title on dataset
[DEBUG|beautiful_crawler|WEB_SCRAPER|L455] - 2024-06-14 20:49:28  ->  Executing clean_rating on dataset
[DEBUG|beautiful_crawler|WEB_SCRAPER|L457] - 2024-06-14 20:49:28  ->  Finished execution of clean_rating on dataset
[DEBUG|beautiful_crawler|WEB_SCRAPER|L455] - 2024-06-14 20:49:28  ->  Executing clean_price on dataset
[DEBUG|beautiful_crawler|WEB_SCRAPER|L457] - 2024-06-14 20:49:28  ->  Finished execution of clean_price on dataset
[DEBUG|beautiful_crawler|WEB_SCRAPER|L455] - 2024-06-14 20:49:28  ->  Executing clean_link on dataset
[DEBUG|beautiful_crawler|WEB_SCRAPER|L457] - 2024-06-14 20:49:28  ->  Finished execution of clean_link on dataset
